container_id,container_name,pod_name,namespace,pod_ip,image,node,node_id,node_ip,node_mac,uid
a4c8e0200012,orders-app,orders-app-7df86c5d4-08,orders,10.244.3.28,registry.example.test/orders/app:2.4.1,worker-03,ef48dd34-7392-4eea-a6c2-0db179650003,10.20.0.13,02-42-ac-14-00-03,root
a4c8e0200013,orders-app,orders-app-7df86c5d4-09,orders,10.244.4.29,registry.example.test/orders/app:2.4.1,worker-04,ef48dd34-7392-4eea-a6c2-0db179650004,10.20.0.14,02-42-ac-14-00-04,root
a4c8e0200014,orders-app,orders-app-7df86c5d4-10,orders,10.244.5.30,registry.example.test/orders/app:2.4.1,worker-05,ef48dd34-7392-4eea-a6c2-0db179650005,10.20.0.15,02-42-ac-14-00-05,root
a4c8e0200015,identity-app,identity-app-7df86c5d4-01,identity,10.244.1.31,registry.example.test/identity/app:2.4.1,worker-01,ef48dd34-7392-4eea-a6c2-0db179650001,10.20.0.11,02-42-ac-14-00-01,root
a4c8e0200016,identity-app,identity-app-7df86c5d4-02,identity,10.244.2.32,registry.example.test/identity/app:2.4.1,worker-02,ef48dd34-7392-4eea-a6c2-0db179650002,10.20.0.12,02-42-ac-14-00-02,root
a4c8e0200017,identity-app,identity-app-7df86c5d4-03,identity,10.244.3.33,registry.example.test/identity/app:2.4.1,worker-03,ef48dd34-7392-4eea-a6c2-0db179650003,10.20.0.13,02-42-ac-14-00-03,root
a4c8e0200018,identity-app,identity-app-7df86c5d4-04,identity,10.244.4.34,registry.example.test/identity/app:2.4.1,worker-04,ef48dd34-7392-4eea-a6c2-0db179650004,10.20.0.14,02-42-ac-14-00-04,root
a4c8e0200019,identity-app,identity-app-7df86c5d4-05,identity,10.244.5.35,registry.example.test/identity/app:2.4.1,worker-05,ef48dd34-7392-4eea-a6c2-0db179650005,10.20.0.15,02-42-ac-14-00-05,root
a4c8e020001a,identity-app,identity-app-7df86c5d4-06,identity,10.244.1.36,registry.example.test/identity/app:2.4.1,worker-01,ef48dd34-7392-4eea-a6c2-0db179650001,10.20.0.11,02-42-ac-14-00-01,root
a4c8e020001b,identity-app,identity-app-7df86c5d4-07,identity,10.244.2.37,registry.example.test/identity/app:2.4.1,worker-02,ef48dd34-7392-4eea-a6c2-0db179650002,10.20.0.12,02-42-ac-14-00-02,root
a4c8e020001c,identity-app,identity-app-7df86c5d4-08,identity,10.244.3.38,registry.example.test/identity/app:2.4.1,worker-03,ef48dd34-7392-4eea-a6c2-0db179650003,10.20.0.13,02-42-ac-14-00-03,root
a4c8e020001d,identity-app,identity-app-7df86c5d4-09,identity,10.244.4.39,registry.example.test/identity/app:2.4.1,worker-04,ef48dd34-7392-4eea-a6c2-0db179650004,10.20.0.14,02-42-ac-14-00-04,root
a4c8e020001e,identity-app,identity-app-7df86c5d4-10,identity,10.244.5.40,registry.example.test/identity/app:2.4.1,worker-05,ef48dd34-7392-4eea-a6c2-0db179650005,10.20.0.15,02-42-ac-14-00-05,root
a4c8e020001f,inventory-app,inventory-app-7df86c5d4-01,inventory,10.244.1.41,registry.example.test/inventory/app:2.4.1,worker-01,ef48dd34-7392-4eea-a6c2-0db179650001,10.20.0.11,02-42-ac-14-00-01,root
a4c8e0200020,inventory-app,inventory-app-7df86c5d4-02,inventory,10.244.2.42,registry.example.test/inventory/app:2.4.1,worker-02,ef48dd34-7392-4eea-a6c2-0db179650002,10.20.0.12,02-42-ac-14-00-02,root
a4c8e0200021,inventory-app,inventory-app-7df86c5d4-03,inventory,10.244.3.43,registry.example.test/inventory/app:2.4.1,worker-03,ef48dd34-7392-4eea-a6c2-0db179650003,10.20.0.13,02-42-ac-14-00-03,root
a4c8e0200022,inventory-app,inventory-app-7df86c5d4-04,inventory,10.244.4.44,registry.example.test/inventory/app:2.4.1,worker-04,ef48dd34-7392-4eea-a6c2-0db179650004,10.20.0.14,02-42-ac-14-00-04,root
a4c8e0200023,inventory-app,inventory-app-7df86c5d4-05,inventory,10.244.5.45,registry.example.test/inventory/app:2.4.1,worker-05,ef48dd34-7392-4eea-a6c2-0db179650005,10.20.0.15,02-42-ac-14-00-05,root
a4c8e0200024,inventory-app,inventory-app-7df86c5d4-06,inventory,10.244.1.46,registry.example.test/inventory/app:2.4.1,worker-01,ef48dd34-7392-4eea-a6c2-0db179650001,10.20.0.11,02-42-ac-14-00-01,root
a4c8e0200025,inventory-app,inventory-app-7df86c5d4-07,inventory,10.244.2.47,registry.example.test/inventory/app:2.4.1,worker-02,ef48dd34-7392-4eea-a6c2-0db179650002,10.20.0.12,02-42-ac-14-00-02,root
a4c8e0200026,inventory-app,inventory-app-7df86c5d4-08,inventory,10.244.3.48,registry.example.test/inventory/app:2.4.1,worker-03,ef48dd34-7392-4eea-a6c2-0db179650003,10.20.0.13,02-42-ac-14-00-03,root
a4c8e0200027,inventory-app,inventory-app-7df86c5d4-09,inventory,10.244.4.49,registry.example.test/inventory/app:2.4.1,worker-04,ef48dd34-7392-4eea-a6c2-0db179650004,10.20.0.14,02-42-ac-14-00-04,root
a4c8e0200028,inventory-app,inventory-app-7df86c5d4-10,inventory,10.244.5.50,registry.example.test/inventory/app:2.4.1,worker-05,ef48dd34-7392-4eea-a6c2-0db179650005,10.20.0.15,02-42-ac-14-00-05,root
a4c8e0200029,observability-app,observability-app-7df86c5d4-01,observability,10.244.1.51,registry.example.test/observability/app:2.4.1,worker-01,ef48dd34-7392-4eea-a6c2-0db179650001,10.20.0.11,02-42-ac-14-00-01,root
a4c8e020002a,observability-app,observability-app-7df86c5d4-02,observability,10.244.2.52,registry.example.test/observability/app:2.4.1,worker-02,ef48dd34-7392-4eea-a6c2-0db179650002,10.20.0.12,02-42-ac-14-00-02,root
a4c8e020002b,observability-app,observability-app-7df86c5d4-03,observability,10.244.3.53,registry.example.test/observability/app:2.4.1,worker-03,ef48dd34-7392-4eea-a6c2-0db179650003,10.20.0.13,02-42-ac-14-00-03,root
a4c8e020002c,observability-app,observability-app-7df86c5d4-04,observability,10.244.4.54,registry.example.test/observability/app:2.4.1,worker-04,ef48dd34-7392-4eea-a6c2-0db179650004,10.20.0.14,02-42-ac-14-00-04,root
a4c8e020002d,observability-app,observability-app-7df86c5d4-05,observability,10.244.5.55,registry.example.test/observability/app:2.4.1,worker-05,ef48dd34-7392-4eea-a6c2-0db179650005,10.20.0.15,02-42-ac-14-00-05,root
a4c8e020002e,observability-app,observability-app-7df86c5d4-06,observability,10.244.1.56,registry.example.test/observability/app:2.4.1,worker-01,ef48dd34-7392-4eea-a6c2-0db179650001,10.20.0.11,02-42-ac-14-00-01,root
a4c8e020002f,observability-app,observability-app-7df86c5d4-07,observability,10.244.2.57,registry.example.test/observability/app:2.4.1,worker-02,ef48dd34-7392-4eea-a6c2-0db179650002,10.20.0.12,02-42-ac-14-00-02,root
a4c8e0200030,observability-app,observability-app-7df86c5d4-08,observability,10.244.3.58,registry.example.test/observability/app:2.4.1,worker-03,ef48dd34-7392-4eea-a6c2-0db179650003,10.20.0.13,02-42-ac-14-00-03,root
a4c8e0200031,observability-app,observability-app-7df86c5d4-09,observability,10.244.4.59,registry.example.test/observability/app:2.4.1,worker-04,ef48dd34-7392-4eea-a6c2-0db179650004,10.20.0.14,02-42-ac-14-00-04,root
a4c8e0200032,observability-app,observability-app-7df86c5d4-10,observability,10.244.5.60,registry.example.test/observability/app:2.4.1,worker-05,ef48dd34-7392-4eea-a6c2-0db179650005,10.20.0.15,02-42-ac-14-00-05,root
